,name,headline
4737,Douwe Egberts coffee,Douwe Egberts. Make it a real good time.
4738,"Eight O'Clock, coffee beans & ground coffee",For those who put coffee first.
4739,"Sprite, carbonated soft drink",Sprite. Obey Your Thirst.
4740,"Mountain Dew brand, carbonated drink",Do the Dew.
4741,"Shloer, sparkling fruit drinks",Shloer. The Grown-Up soft drink.
4742,Sierra Mist carbonated soft drink,It's that refreshing.
4743,Fanta brand,"Drink Fanta, stay Bamboocha."
4744,7 Up lemonade,7-Up. Now 100% Natural.
4745,Diet Coke (also called Coca-Cola light in some countries),Create your own Diet Coke break.
4746,Diet Coke (also called Coca-Cola light in some countries),Light it up!
4747,"Pepsi Max, a low-calorie, sugar-free cola",Max your life.
4748,Burn Energy Drink,Fire to drink.
4749,Burn Energy Drink,What do you burn for?
4750,"Tiger Energy Drink, Poland",Power is back!
4751,"Tiger Energy Drink, USA",Untamed energy.
4752,Wild Dragon,Be wild.
4753,Wild Dragon,No limit.
4754,Wild Dragon,Enjoy the power.
4755,AMP Energy,"Energy you need, flavors you crave."
4756,AMP Energy,AMP yourself.
4757,AMP Energy,Mmmm. Energy.
4758,Verve,Insanely healthy energy.
4759,Pit Bull Energy Drink,Attitude in a can.
4760,Fundador Brandy brand,"When you want brandy, you say Fundador."
4761,"Kuemmerling, the German herbal bitters brand",Kuemmerling. Welcome to the community.
4762,"Aquafina, brand of purified bottled water",Aquafina. The purest part of you.
4763,"Aquafina, brand of purified bottled water",Make your body happy.
4764,"Aquafina, brand of purified bottled water",Aquafina. Purity guaranteed.
4765,"Volvic natural mineral water, France",Volvic. Are you up to the challenge?
4766,"Volvic natural mineral water, France",Filled with volcanicity.
4767,"Volvic natural mineral water, France",Volvic. Created by volcanoes.
4768,Dasani purified bottled water,Designed to make a difference.
4769,Dasani purified bottled water,The water that makes your mouth water.
4770,Dasani purified bottled water,Can't live without Dasani.
4771,"San Pellegrino, Italian mineral water",S. Pellegrino. Live in Italian.
4772,"San Pellegrino, Italian mineral water",At homes in Italy and around the world.
4773,Evian mineral water,Evian. Live young.
4774,"Eight O'Clock, coffee beans & ground coffee",Wake up. It's Eight O'Clock.
4775,"Bru, coffee trademark in India",Happiness begins with Bru.
4776,"Carte Noire, French coffee brand",For a more seductive coffee break.
4777,"Carte Noire, French coffee brand",Carte Noire. French for coffee.
4778,"Tchibo, German brand of instant coffee",A new experience every week.
4779,"Tchibo, German brand of instant coffee",Passionate about coffee.
4780,"Tchibo, German brand of instant coffee",Tchibo. Awaken the senses.
4781,"Tchibo, German brand of instant coffee",Give the best.
4782,Taylors of Harrogate coffee,Home of the world's finest coffees.
4783,"Arvid Nordquist Classic, ground coffee, Sweden",Imagine what a bit of Classic can do.
4784,"Puro coffee, Belgium",Make yourself more useful. Have a coffee break.
4785,"Melitta, German brand of coffee, coffee filter paper and coffee makers",The flavor of Europe in every cup.
4786,"Melitta, German brand of coffee, coffee filter paper and coffee makers","When it's time for me, it's time for Melitta."
4787,"Melitta, German brand of coffee, coffee filter paper and coffee makers",Coffee indulgence.
4788,"Rombouts, fresh ground coffee",Real coffee for people with an instant lifestyle.
4789,"Rombouts, fresh ground coffee","Whichever way you choose, choose Rombouts."
4790,"Kimbo, Italian brand of coffee",Kimbo… you won't forget it.
4791,"Nabob coffee, Canada",Respect the bean.
4792,TaB Energy,Fuel to be fabulous.
4793,"BPM Energy Drink, Ireland",Liquid asset.
4794,"BPM Energy Drink, Ireland",Energy for living.
4795,"Lift Plus, New Zealand",Sharpen up.
4796,Livita Energy Drink,Gets you going!
4797,Go Fast!,Fast things for fast people.
4798,"Revo Energy, Ukrainian brand",One shot - one hit.
4799,XS Energy Drink,Premium energy. Explosive taste.
4800,Paul Masson Wines,Paul Masson. We will sell no wine before its time.
4801,"Aspect Invest Vin, trademark of Moldavian wines",Talk is good when wine is fine!
4802,"Kendall-Jackson wines, United States",Kendall-Jackson. A Taste of the Truth
4803,"Redwood Creek, Californian wine",Satisfy your taste for Adventure!
4804,"Redwood Creek, Californian wine",Redwood Creek. Good things take time
4805,Ernest & Julio Gallo wines,California. The new art of wine
4806,Ernest & Julio Gallo wines,E.&J. Gallo. Everything we know is everything you taste
4807,Turning Leaf wine brand (E.&J. Gallo Winery),Turning Leaf. Handcrafted for Perfect Moments
4808,"Luna Di Luna, the original wine blend, USA",Luna Di Luna. Get Some
4809,The Washington Wine Commission,Washington state - the perfect climate for wine
4810,"Arbor Mist , US wine brand",Can't Resist the Mist!
4811,"Arbor Mist , US wine brand",Great Tasting Wine with a Splash of Fruit
4812,"Arbor Mist , US wine brand",Just what you've been looking for.
4813,"Sutter Home Wines, California, USA",Sutter Home Wines. Life uncomplicated
4814,"Sutter Home Wines, California, USA",Way too focused on the wine
4815,"Sutter Home Wines, California, USA",Taste the Commitment
4816,"Sutter Home Wines, California, USA",They don't need food to make sense.
4817,Wine Market Council of California campaign,Wine. What are you saving it for?
4818,Wine Market Council of California campaign,Wine. Since 6000 B.C.
4819,Clos du Bois wines,Clos du Bois. All the French you need to know
4820,"Angostura brand, bitters",Angostura. You've got a taste.
4821,Evian mineral water,The secret is in the Alps.
4822,Evian mineral water,Detox with Evian.
4823,Evian mineral water,Your natural source of youth.
4824,"Naya, Canadian natural spring water",Hungry for life. Thirsty for Naya.
4825,"Mangiatorella still and sparkling mineral water, Italy",Forever young.
4826,Speyside Glenlivet still and sparkling mineral water,Speyside Glenlivet. The height of good taste.
4827,"Donat Mg, mineral water from Slovenia",Donat Mg. More than magnesium.
4828,"Le Bleu, ultra pure bottled water",My body loves Le Bleu.
4829,Ashe Park mineral water,Ashe Park. Clear sign of a great restaurant.
4830,"Acqua Panna, Italian brand of bottled water",A water that belongs on the wine list.
4831,"Lauretana low mineralized water, Italy",Lauretana. The lightest water in Europe.
4832,"Pedras Salgadas, naturally carbonated mineral water from Portugal",Pedras. An unforgettable experience.
4833,Selters natural mineral water from Germany,Original Selters. The source of good taste.
4834,"Nabob coffee, Canada",Better beans. Better coffee. Better planet.
4835,Clos du Bois wines,Rich as Life
4836,"Magnotta Winery wines, Canada",Magnotta. The Award Winning Winery
4837,"Fetzer Vineyards and brand, USA",Fetzer. From the earth to the table
4838,"Fetzer Vineyards and brand, USA",True to Our Roots
4839,"Woodbridge Winery and wine brand, California",Woodbridge. Taste our small winery tradition.
4840,"Woodbridge Winery and wine brand, California",All You Need to Know About Great Wine
4841,Santa Margherita Italian brand,Great Wines for Great Encounters.
4842,Santa Margherita Italian brand,Santa Margherita. Wines for Momentous Encounters
4843,Louis Roederer Champagne,Louis Roederer. Without compromise.
4844,Callaway Coastal California's wines,Coastal Standard Time.
4845,"J. Garcia wines, California",J. Garcia. The Art of Wine.
4846,Jimmy's iced coffee,Keep your chin up!
4847,Dare iced coffee,"When your place is all over the head, a Dare fix’ll fix it."
4848,Dare iced coffee,"Wake up, brain."
4849,Dare iced coffee,The coffee moment without the moment.
4850,McDonalds iced coffee,Brrr.Mmmm.
4851,"Farmers Union iced coffee, Australia",It's a Farmers Union Iced Coffee or it's nothing.
4852,Nescafe iced coffee,Stay ice sharp.
4853,Nescafe iced coffee,Nescafe Ice. It's a state of mind.
4854,Iced Afro Coffee,Sweet for the ladies. Strong for the men.
4855,Barista Bros. iced coffee,Approved by those who know.
4856,Starbucks iced coffee,Good to go.
4857,"Starbucks Doubleshot, coffee drinks",Bring on the day.
4858,"Starbucks Frappuccino, frozen blended coffee drink",Treat yourself and a friend to a cool Frappuccino.
4859,"Starbucks Frappuccino, frozen blended coffee drink",Work can wait.
4860,"Camp Coffee, Scottish coffee drink",Camp for people who please themselves.
4861,"Camp Coffee, Scottish coffee drink",Ready aye ready.
4862,"D7 canned ice coffee, Thailand",Wake up Thailand.
4863,Blue Donkey iced coffee,Blue Donkey. Yea. It's that good.
4864,International Delight iced coffee brand,Have a delightful day.
4865,Ice Break brand,Real coffee. Ice cold. Bring it on.
4866,"Celestial Seasonings, brand of herbal and green tea in the USA",Celestial Seasonings. 100% natural teas.
4867,"Celestial Seasonings, brand of herbal and green tea in the USA",Make any moment Celestial.
4868,"Celestial Seasonings, brand of herbal and green tea in the USA",Tea doesn't have to be boring.
4869,"Celestial Seasonings, brand of herbal and green tea in the USA",All natural. No caffeine.
4870,Yogi tea,How good can you feel?
4871,Yogi tea,Discover the delicious side of well-being.
4872,Dr Stuart's herbal and fruit teas,Extraordinarily good teas.
4873,Dr Stuart's herbal and fruit teas,There's a better you inside.
4874,"Kokoro green & herbal teas, Singapore",Keep heart delight.
4875,Qi organic green and white tea,Balance and harmony for body and mind.
4876,Salada green tea,A healthy taste for life since 1892.
4877,"Gryphon Chamomile Dream, caffeine-free tea",Can't sleep?
4878,Numi Organic Tea,"Celebrating people, planet, and pure tea."
4879,"Lyons tea brand, Ireland","Quality tea, now we're talking."
4880,"Lyons tea brand, Ireland",Puts the talk into tea.
4881,"Lyons tea brand, Ireland",Because there's life there's Lyons.
4882,PG Tips tea in the United Kingdom,"You, me and a cuppa PG."
4883,PG Tips tea in the United Kingdom,PG Tips. It’s the taste.
4884,PG Tips tea in the United Kingdom,Do your bit - put the kettle on.
4885,PG Tips tea in the United Kingdom,Put the kettle on.
4886,PG Tips tea in the United Kingdom,We all need a PG moment.
4887,"Kericho Gold, Kenyan tea",A matter of good taste.
4888,"BOH tea, Malaysia",Share the Ummph!
4889,"Dilmah Ceylon tea, Sri Lanka",Fresh from our tea gardens to your cup.
4890,"Dilmah Ceylon tea, Sri Lanka",Dilmah. The finest tea on earth.
4891,"Dilmah Ceylon tea, Sri Lanka",The tea with more ahhhh.
4892,Basilur Ceylon tea,Basilur. Magic story.
4893,"Goodricke tea, India",The tea people.
4894,"Goodricke tea, India",Wake up to a fresh feeling.
4895,"Wagh Bakri tea, India",Building relationships.
4896,Clipper teas,"Natural, fair & delicious."
4897,Clipper teas,Say hello to Clipper Green Tea.
4898,Clipper teas,Britain's favourite green tea.
4899,"Kusmi, French tea brand",Kusmi. The beauty of blends.
4900,"Teadirect, tea brand in the UK",A decent cup of tea.
4901,"Upton Tea Imports, American company that sells specialty teas",Purveyor of the world's finest teas.
4902,"Tavalon, tea company that sells premium teas and tea products",Tavalon. The future of tea.
4903,"Two Leaves and a Bud Tea Company, manufacturer and distributor of organic tea",We take tea personally.
4904,"Teavana, tea and tea accessory retailer",A heaven of tea.
4905,Alveus tea wholesaler,Creates your premium tea.
4906,Alveus tea wholesaler,Source of daily wellbeing.
4907,"Rakhmet Royal Tea, Kazakhstan",Discover a new destination every day.
4908,Good Earth tea,From the fields of five continents. Individually wrapped for freshness.
4909,Imperial Blend tea,A tea to bewitch your afternoons.
4910,"Barry's tea brand, Ireland",Every day should have its golden moments.
4911,Victorian tea trademark,It's romance... of a different kind.
4912,Victorian tea trademark,Happy to come home.
4913,Tea Board of India / advertising campaign of Indian tea,India tea. World's gold standard.
4914,Twinings tea,Twinings. Gets you back to you.
4915,Twinings tea,All natural. Is yours?
4916,Twinings Pure Camomile herbal tea,Blended to make every day a little better.
4917,"Red Rose Tea, Canada",Enjoyed for generations.
4918,"Red Rose Tea, Canada",Savor life's moments.
4919,"Red Rose Tea, Canada",Red Rose Tea is good tea.
4920,Brooke Bond tea,Cheers your senses.
4921,Brooke Bond D tea,It makes you feel human again.
4922,Brooke Bond D tea,D the most refreshing T.
4923,Varieties of Brooke Bond tea,Brooke Bond Scottish Blend. More flavour than our old bag.
4924,Varieties of Brooke Bond tea,Brooke Bond Choicest Blend. You won't find a finer tea.
4925,Freshpak tea,Feels so good.
4926,Freshpak tea,When you know what's good for you.
4927,Smirnoff vodka,Clearly Smirnoff.
4928,Smirnoff vodka,Smirnoff. Not the usual.
4929,Smirnoff vodka,He's clearly discovered Smirnoff.
4930,Smirnoff vodka,Pure perfection.
4931,Smirnoff vodka,Pure Thrill.
4932,Smirnoff vodka,There`s vodka and then there`s Smirnoff.
4933,Smirnoff vodka,The greatest name in Vodka.
4934,Stolichnaya vodka,Stoli. Freedom Of Vodka.
4935,Wyborowa Vodka,Wyborowa. Exquisite wodka.
4936,Wyborowa Vodka,Enjoyed for centuries straight.
4937,"Gzhelka, Russian vodka",Take me!
4938,"Gorbatschow wodka, German brand",Gorbatschow. The pure spirit of vodka.
4939,"Boru, Irish brand",Boru. The Purest Expression of Vodka.
4940,"Romanov vodka, India",Romanov. As you like it.
4941,"Absolut Raspberri, swedish raspberry vodka",Unleash the Raspberry!
4942,"Grey Goose Vodka, France",Grey Goose. The world's best tasting vodka.
4943,Blavod black vodka,Blavod. Outrageously Smooth.
4944,Artic Vodka,Artic. 40° from pure wheat.
4945,"Artic Frutta, a combination of vodka and fruit juice",Break the ice.
4946,"The Glenlivet, malt whisky brand",The Glenlivet. One place. One whisky.
4947,Black Velvet Canadian Whiskey,Feel the Velvet.
4948,The Macallan Single Highland Malt Scotch Whisky,The Macallan. The great Single Malt
4949,The Macallan Single Highland Malt Scotch Whisky,The sweet smell of success.
4950,Johnnie Walker brand,Johnnie Walker. Keep Walking
4951,Johnnie Walker brand,The very finest Scotch Whisky of a great age.
4952,Johnnie Walker brand,"If you want to impress someone, put him on your Black list"
4953,Jameson Irish Whiskey,Jameson Irish Whiskey. What's the Rush?
4954,Jameson Irish Whiskey,The spirit of Ireland.
4955,Jameson Irish Whiskey,Not a drop is sold till it's seven years old
4956,Glenfiddich Scotch Whisky,Glenfiddich. Independently minded. Independently made.
4957,Glenfiddich Scotch Whisky,The Independent Spirit
4958,Glenfiddich Scotch Whisky,The Friday Scotch
4959,Glenfiddich Scotch Whisky,Single source of inspiration
4960,Patron Tequila,Simply perfect.
4961,Tequila Avion,Step out of your shell.
4962,Herradura Tequila,Never compromise.
4963,El Jimador,Live 100%.
4964,Tequila Gran Centenario,The calling.
4965,Sauza Tequila,Fun is calling.
4966,Sauza Tequila,Stay pure.
4967,Sauza Tequila,Life is harsh. Your tequila shouldn't be.
4968,Sauza Conmemorativo,"The smoother, oak-aged tequila."
4969,"Sauza 901, brand of premium tequila",No limes needed.
4970,Jose Cuervo Tequila,Have a story.
4971,Jose Cuervo Tequila,Don't let go.
4972,Jose Cuervo Silver,So smooth. It shatters expectations.
4973,Jose Cuervo Cinge,Get stung.
4974,"Sedgwick's Old Brown Sherry, South Africa","Sedgwick's. Rich, warm and satisfying."
4975,"Douglas Green sherry, South Africa",Rediscover the delight of Sherry.
4976,"Tio Pepe, Fino sherry",Good food tastes better after a glass of Tio Pepe.
4977,"Tio Pepe, Fino sherry",Good Food Tastes Better With Tio Pepe.
4978,Yorkshire black tea,Let's have a proper brew.
4979,Yorkshire black tea,From Yorkshire. Where teatime's important.
4980,Yorkshire black tea,Try it. You'll see.
4981,Yorkshire black tea,It's got to be Yorkshire.
4982,Yorkshire black tea,All the best from Yorkshire.
4983,Yorkshire Tea for Hard Water,Our family of teas blended to suit your water.
4984,Sir Winston Tea,Finest tea tradition.
4985,Harney & Sons tea,Master tea blenders.
4986,Jacksons of Piccadilly tea,Purveyors of quality teas since the 18th century.
4987,Punjana tea brand,Put more flavour in your life.
4988,Punjana tea brand,Punjana. Everyone's cup of tea.
4989,Ridgways tea,Fine teas for the discerning.
4990,Five Roses tea brand,Nobody makes better tea than you and Five Roses.
4991,Dewar's Scotch Whisky brand,Dewar's. It never varies.
4992,Dewar's Scotch Whisky brand,They're doers.
4993,Ballantine's whisky brand,Ballantine's. Play better. Play in moderation.
4994,Canadian Club brand,Canadian Club. Be a Part of it.
4995,Canadian Club brand,No Ordinary Whisky.
4996,Canadian Club brand,150 Countries. 1 Rye - Canadian Club.
4997,Cutty Sark Whisky,Live a Cutty above.
4998,Cutty Sark Whisky,Don't give up the ship.
4999,Haig Scotch,Don't be vague. Ask for Haig.
5000,Bell's Scotch Whisky brand,Afore ye go.
5001,Chivas Regal premium blended old Scotch,This is Chivas Life.
5002,"Ardbeg, Single Islay Malt Scotch Whisky",Ardbeg. The Islay malt that sweetly whacks you.
5003,Jose Cuervo Especial,It makes you electric.
5004,Tequila Corazon de Agave,The good stuff.
5005,1800 Tequila,Enough said.
5006,1800 Reposado,When you're ready for a smooth tequila.
5007,Olmeca Tequila,Switch on the night.
5008,Olmeca Tequila,Awaken the mystery.
5009,Olmeca Tequila,Olmeca... and the fun goes on!
5010,Exodo Tequila,What's your flavor?
5011,Hornitos Tequila,Purer than your intentions.
5012,Cazadores,Never forget where you come from.
5013,Cazadores,The one with the deer on it.
5014,Don Julio,Make your move.
5015,Don Julio,Know your tequila.
5016,Don Julio,Taste the Mexico you don't know.
5017,Don Julio,Welcome to the top shelf.
5018,El Mayor Tequila,A handmade legacy.
5019,Tequila Corralejo,The big tequila of Mexico.
5020,Espolon Tequila,Let's stir things up.
5021,Casamigos,Brought to you by those who drink it.
5022,Talero Tequila,Life tastes better naturally.... So should your tequila.
5023,"Selecto (Santa Teresa) brand, Venezuela",One country. One rum.
5024,Malibu Caribbean Rum brand,Malibu. Seriously easy going.
5025,Appleton Jamaica Rum,Appleton. The spirit of Jamaica.
5026,Appleton Jamaica Rum,Raise your Rum!
5027,Appleton Jamaica Rum,The Finest Rum In The World.
5028,Bacardi rum,You in?
5029,Bacardi rum,Welcome to the Latin Quarter.
5030,Bacardi rum,Live like you mean it.
5031,Bacardi rum,They get the job done.
5032,Bacardi rum,You know when it's Bacardi.
5033,Island Breeze Coconut Rum (by Bacardi),Island Breeze. The original lite spirit.
5034,Island Breeze Coconut Rum (by Bacardi),Now you can have it all.
5035,Captain Morgan Spiced rum,Captain Morgan. Enjoy the contradiction.
5036,Captain Morgan Spiced rum,Got a little Captain in you?
5037,Captain Morgan Spiced rum,The Captain was here.
5038,Captain Morgan's / Parrot Bay coconut rum,The Parrot is Calling.
5039,"Ron Varadero, Cuban rum",Ron Varadero. Beyond compare.
5040,"Taylor’s Port wine brand, Portugal",Taylor’s. The Home of Port.
5041,Cockburn's Port of Portugal,Cockburn's. Good Times. Good Friends.
5042,Kopke porto,Kopke. The eldest symbol of Portwine.
5043,Rozes port wines,Rozes. Expect the Unexpected and enjoy.
5044,Graham's port wine,Grrrasp the moment.
5045,Martell Cognac,Martell. Only a Few Can Tell.
5046,Hennessy X.O. french cognac,Hennessy. Mix accordingly.
5047,Hennessy X.O. french cognac,Hennessy XO. The one and only original.
5048,Remy Martin brand,Remy Martin. Feel More.
5049,Remy Martin brand,Only Remy.
5050,"Pisa, Nut Liqueur,",Pisa. A whole new slant on things.
5051,"Pisa, Nut Liqueur,",
5052,Champale Malt Liquor,Champale. Some People Just Know How to Live.
5053,"Kahlua brand, Mexican coffee liqueur",Kahlua. Enjoy your exotic moment responsibly.
5054,"Kahlua brand, Mexican coffee liqueur",Kahlua. Awaken the spirit.
5055,Midori melon liqueur brand,Midori Margarita: Mix It UP.
5056,Baileys Irish Cream Liqueur,Baileys. Serve Chilled.
5057,Baileys Irish Cream Liqueur,Baileys. Let your senses guide you.
5058,Baileys Irish Cream Liqueur,The Pleasure Society.
5059,"Celtic Crossing Liqueur, Ireland",Celtic Crossing. Find it!
5060,"Disaronno, Italian liqueur",Disaronno. Taste the seduction.
5061,"Talea cream liqueur, Italy",Talea. A velvet sensation.
5062,"Cointreau, a premium spirit made from orange peels",Cointreau. Be cointreauversial.
5063,Wild Turkey Bourbon brand,Too good to keep cooped up
5064,Wild Turkey Bourbon brand,
5065,Wild Turkey Bourbon brand,Wild Turkey. Not the latest thing. The genuine thing.
5066,Jim Beam Bourbon brand,Real Friends. Real Bourbon.
5067,"Maker's Mark, America's premium bourbon",We make our bourbon carefully. Please enjoy it that way
5068,Four Roses Bourbon,Four Roses. America's most gifted whiskey.
5069,Tanqueray gin brand,Ready to Tanqueray?
5070,Beefeater London Dry Gin,Beefeater. This is Gin.
5071,Beefeater London Dry Gin,Make it a double.
5072,Beefeater London Dry Gin,Live a little
5073,Gordon's gin,Gordon's. Refreshing yet dry.
5074,Gordon's gin,Mix Gordon's with Pleasure.
5075,Gordon's gin,Re-mix yourself.
5076,Gordon's gin,Go for a Gordon's.
5077,Gilbey's special dry gin,Gilbey's. Taste the smoothest gin today.
5078,Gilbey's special dry gin,So smooth. Good times last longer.
5079,London brand,London. Just right for you!
5080,"Hendrick's, a small-batch gin hand crafted in Scotland",Hendrick's. A most unusual gin.
5081,"Hendrick's, a small-batch gin hand crafted in Scotland",Hendrick's. It is not for everybody.
5082,"Hendrick's, a small-batch gin hand crafted in Scotland",Preferred by 1 out of 1000 gin drinkers.
5083,"Martin Miller's, a premium English gin",Martin Miller's. Be a tastemaker.
5084,Bombay Sapphire gin,Sapphire Inspired.
5085,Bombay Sapphire gin,Bombay Sapphire. Pour something priceless.
5086,Busch Beer,Busch Beer. Head for the mountains.
5087,Schlitz Beer,Schlitz. The beer that made Milwaukee famous.
5088,Budweiser Beer,Budweiser. True.
5089,Budweiser Beer,"When you say Budweiser, you've said it all."
5090,Budweiser Beer,"For all you do, this Bud's for you."
5091,Budweiser Beer,The Genuine Article.
5092,Budweiser Beer,The King of Beers.
5093,Budweiser Beer,"Where there's life, there's Bud."
5094,Coors beer,The Coldest Tasting Beer In The World
5095,Coors beer,It won't slow you down
5096,Coors beer,This is our Beer
5097,Coors beer,Turn it loose!
5098,Coors beer,Brewed with Pure Rocky Mountain Spring Water.
5099,Coors beer,Note:
5100,A&W Root Beer,That frosty mug sensation.
5101,Courage Beer,It's what your right arm's for.
5102,Courage Beer,Take Courage.
5103,Double Diamond Beer,I'm only here for the beer.
5104,Double Diamond Beer,A Double Diamond works wonders.
5105,Heineken beer,A better beer deserves a better can.
5106,Heineken beer,It's all about the beer.
5107,Heineken beer,Lager Beer at its Best.
5108,Heineken beer,How refreshing! How Heineken!
5109,Heineken beer,Heineken refreshes the parts other beers cannot reach.
5110,Greene King IPA beer,Greene King IPA. A tasty change from the usual.
5111,Greene King IPA beer,Beer to Dine For.
5112,Molson Canadian brand,It Starts Here.
5113,Molson Canadian brand,I am Canadian.
5114,Bad Frog beer,The Beer so Good it's Bad.
5115,Bud Light brand,Fresh. Smooth. Real. It's all here.
5116,Bud Light brand,Be yourself and make it a Bud Light.
5117,"Dreher, Hungarian premium beer brand",It's what's inside that truly counts. Dreher.
5118,"Abbot Ale, Greene King's flagship brand",Some things get better given longer.
5119,"Abbot Ale, Greene King's flagship brand",Would you say no to another?
5120,"Chateau Los Boldos, Chilean wines",The French Chateau of Chile
5121,"Casillero del Diablo, brand of Concha y Toro",Wine legend
5122,"Casillero del Diablo, brand of Concha y Toro",Casillero del Diablo. Chilean wine legend
5123,"Sunrise wine, Chile, brand of Concha y Toro",Sunrise. 300 days of sun
5124,Casa Donoso chilean wines,Casa Donoso. For Those Who Know the Best
5125,"Vina Santa Carolina, chilean wine",Vina Santa Carolina. This Is Chile
5126,Francisco de Aguirre Vineyards,The Northern Frontier of Chilean Wine
5127,Gracia de Chile wines,Gracia de Chile. The south side of life.
5128,Santa Rita Chile's wine,A great wine for your table
5129,Santa Rita Chile's wine,Inalterable quality in time
5130,"Finca Flichman brand, Argentina",The evolution of Argentina's great wines
5131,"Finca Flichman brand, Argentina",From Argentina without secrets
5132,"Black Tower, German wine brand","Black Tower. Easy drinking, anytime."
5133,Osborne Solaz Spanish wine,Osborne Solaz. A wine with its own style.
5134,"Campo Viejo, Spanish wine brand",Campo Viejo. Pure Spanish Character.
5135,"Namaqua brand, boxed wine, South Africa",Namaqua. We box the best.
5136,"Namaqua brand, boxed wine, South Africa",The big name in boxed wine
5137,"Leopard's Leap, range of South African wines",Leopard's Leap… follow your instincts.
5138,"Inanda, sparkling wine brand, South Africa",Quality time… because every day is a celebration.
5139,Van Loveren Blanc De Noir brand,The perfectly pink wine of South Africa.
5140,Goiya wine brand,Goiya… bring a bottle.
5141,"Graca, white corked wine, South Africa","Graca. The talking, eating,drinking, laughing, singing, sharing seafood wine."
5142,"Marques De Riscal brand, Spain",Marques De Riscal. Not only with fish
5143,"Douglas Green Wines, South Africa",Douglas Green. Cape wine at its best.
5144,MUMM Champagne,One word captures the moment. Mumm's the word.
5145,"Brown Brothers brand, Australia",Nothing but the wine
5146,"Wolf Blass brand, Australia",Wolf Blass. Australian wine at its peak
5147,Lindemans best selling Australian wine brand,Lindemans. Making life more enjoyable
5148,"Jacob's Creek, Australian wine brand",Jacob's Creek. Say when.
5149,"Black Swan wine brand, Australia",Black Swan. Let Your Senses Take Flight
5150,William Hill Winery wines,William Hill. Elegance. Defined.
5151,Houghton Australian Wines,Houghton. Perfect for when friends drop in
5152,"Codorniu, brand of cava wines from Spain",Codorniu. The Culture of Pleasure
5153,"Bolla, Italian wine brand",Bolla. Open up
5154,Beanetics Coffee Roasters,The evolution of better coffee.
5155,Capital City Coffee Roasters,Globally sourced. Locally roasted.
5156,"North Pole Coffee Roasting Company, Alaska",Alaskan made. Santa approved.
5157,Utica Coffee Roasting Company,Wake the hell up!
5158,Oregon Coffee Roaster,"Grown in exotic lands, roasted in Oregon."
5159,"Little Red Wagon Coffee Roasters in Bozeman, MT",We. Love. Coffee.
5160,"Mellelo Coffee Roasters in Medford, Oregon",We're big on taste.
5161,"The Coffee Roaster in Sherman Oaks, CA",Start every day fresh!
5162,True Coffee Roasters,True to the bean.
5163,"Cup to Cup Coffee Roasters in Savannah, GA",Where one cup leads to another.
5164,Reading Coffee Roasters,Never burned & always fresh.
5165,Red Rooster Coffee Roaster,Coffee with a conscience.
5166,Kifu Coffee Roasters,Coffee from the global village.
5167,"Pacific Coffee Roasters, Canada",Discover the world in your cup.
5168,"Turnstile Coffee Roasters in Belmar, NJ",Join us in discovering great coffee.
5169,"Bolla, Italian wine brand","Wine is a little like love; when the right one comes along, you know it."
5170,"Fleur du Cap brand, South Africa",Fleur du Cap. Wines inspired by Nature
5171,Argentinean wine industry campaign In England,Wines with Rhythm
5172,"Bella Sera, Italian table wine",Bella Sera. It's going to be a beautiful evening
5173,Korbel California Champagne,Korbel. Turning moments into memories
5174,Wine Council of Ontario,Wines of Ontario. As much character as the people who make them
5175,"Golden Amphora, Crimean wines, Ukraine",Golden Amphora. Wines of the crimean valleys.
5176,"Nescafe, instant coffee brand",It all starts with a Nescafe.
5177,"Nescafe, instant coffee brand",We capture coffee at its brightest.
5178,"Nescafe, instant coffee brand",Great ideas come from great coffee.
5179,"Nescafe, instant coffee brand",More beans. More taste.
5180,Nescafe Taster's Choice coffee,Gourmet in an instant.
5181,Nescafe Taster's Choice coffee,Every moment has its flavor.
5182,Nescafe Alta Rica coffee,"For people who truly, madly, deeply love coffee."
5183,Nescafe Alta Rica coffee,A bold adventure in taste.
5184,Nescafe Blend 37 coffee,A cup of character.
5185,Nescafe Blend 37 coffee,"Richer, darker, distinctly continental."
5186,Nescafe Cap Colombie coffee,Seduction by Nescafe.
5187,Nescafe Cap Colombie coffee,A rare experience in taste.
5188,Nescafe Cappuccino,Make a little time for you.
5189,Nescafe Cappuccino,Great Cappuccino just came home.
5190,Nescafe Cappuccino,"Very, very frothy coffee."
5191,Nescafe Espresso,"Short, dark & intense."
5192,Nescafe Espresso,Stimulation by Nescafe.
5193,Nescafe Fine Blend,For those finer moments.
5194,Nescafe Gold Blend,"Live life to the full, the half and the decaf."
5195,Kava coffee,Less bitter makes Kava lots better.
5196,David Lynch coffee,Oh yeah.
5197,Christopher Bean coffee,Stir your senses.
5198,"Veritas, fresh roasted coffee, USA",Veritas is true coffee.
5199,Mellow Roast coffee,Great coffee taste without bitterness.
5200,Mellow Bird's coffee,Born to be mild.
5201,Mellow Bird's coffee,For mellow moments.
5202,Mellow Bird's coffee,Mellow Birds will make you smile.
5203,Robert Harris Coffee Roaster,Every break should be inspirational.
5204,Robert Harris Coffee Roaster,Like every day.
5205,Long Beach Coffee Roasters,Best roast on the coast.
5206,CQ Coffee Roasters,Coffee driven from farm to cup.
